	datetime	message
133	2020-06-07 21:15:01	<Reuters> Air New Zealand targets 'healthy profits' by 2022  https://reut.rs/37dsv5I  pic.twitter.com/F4cq93IDeb
134	2020-06-07 21:10:02	<Reuters> Democratic U.S. presidential candidate Joe Biden to meet George Floyd's family  https://reut.rs/30fROCA  pic.twitter.com/bH25PwPLsm
135	2020-06-07 21:10:00	<Reuters> ICYMI: Babies race to glory in Lithuania’s annual competition  https://reut.rs/2Y3hIqD  pic.twitter.com/VJIjAgRp5P
136	2020-06-07 21:05:01	<Reuters> Canadians deserve answers after indigenous chief arrested, says security minister  https://reut.rs/3dIJXBt  pic.twitter.com/W3TXBuRMpS
137	2020-06-07 21:05:00	<Reuters> Thailand takes live music festival to Zoom pic.twitter.com/OipNVYPJEs
322	2020-06-07 21:02:38	<wongkim728>  https://youtu.be/iAlhymOnpL8 
420	2020-06-07 21:01:32	"<TIME> “We have to see this moment as a time for fundamental shifting,"" said @RevDrBarber during the #TIME100Talks https://ti.me/2z4NMld "
138	2020-06-07 21:00:08	<Reuters> UK anti-racism protests 'subverted by thuggery': PM Johnson  https://reut.rs/2YdLPvc  pic.twitter.com/MHpR0us45q
139	2020-06-07 21:00:00	<Reuters> ICYMI: Renault is cutting about 15,000 jobs worldwide and restructuring plants to slash costs  https://reut.rs/3dhOTwI  pic.twitter.com/pTS3f3qDc4
140	2020-06-07 20:55:02	<Reuters> Iran says it is ready for more prisoner exchanges with U.S.  https://reut.rs/2XG4fFZ  pic.twitter.com/vsOkLr00Lb
141	2020-06-07 20:51:15	<Reuters> Watch live: Protests continue against police violence in Washington, D.C. https://twitter.com/i/broadcasts/1mrGmEoWVDdGy …
142	2020-06-07 20:50:01	<Reuters> Chile coronavirus death toll jumps sharply after new cases added  https://reut.rs/2XHsOCI  pic.twitter.com/6uVv4xumHl
143	2020-06-07 20:50:00	<Reuters> China will increase international cooperation if it succeeds in developing a novel coronavirus vaccine, the science and technology minister said  https://reut.rs/2z9vQWE  pic.twitter.com/9voybifu9a
144	2020-06-07 20:45:02	<Reuters> Schalke draw at Union Berlin to stretch winless run to 12 games  https://reut.rs/2XG2usn  pic.twitter.com/hZeQrFaS02
62	2020-06-07 20:43:46	<zhanglifan> 中办红头国办章…… https://twitter.com/Marco201202/status/1268597794027089920 …
421	2020-06-07 20:43:32	<TIME> The best songs of 2020 so far https://ti.me/2zgkDUq 
265	2020-06-07 20:41:40	<BBCWorld> Tip 5: Physical activities without screens  Make a conscious decision to take some time away from a screen after work - like cooking dinner or going for a run   It’s good for our physical health too, as working from home can encourage bad posture   http://bbc.in/CoronavirusScreenTime … pic.twitter.com/Vsm2XNLhmJ
264	2020-06-07 20:41:40	<BBCWorld> Read more tips on how to reduce your screen time:  http://bbc.in/CoronavirusScreenTime … pic.twitter.com/jXiP7KfqdX
266	2020-06-07 20:41:39	<BBCWorld> Tip 4: Find alternative ways to connect  Speaking to loved ones doesn’t have to mean Zoom, FaceTime and Skype, says Dr Kang  Picking up a phone and listening to the other person can be just as effective at helping us connect   http://bbc.in/CoronavirusScreenTime … pic.twitter.com/HtTYM7WsZt
267	2020-06-07 20:41:38	<BBCWorld> Tip 3: Plan your screen time  Set a time each day when you’re not near a screen  Spending time before bed not looking at a phone can help improve sleep   Data from screen-tracker app Moment shows lockdowns saw a 30% rise in time spent looking at phones   http://bbc.in/CoronavirusScreenTime … pic.twitter.com/bt3gqrIcn4
268	2020-06-07 20:41:37	<BBCWorld> Tip 2: Identify your triggers  People turn to phones out of habit – often through boredom or irritation  Instead of looking to a screen for comfort, talk to someone about what the issue is – or find an alternative to a screen - Dr Kang suggests   http://bbc.in/CoronavirusScreenTime … pic.twitter.com/cBcOGlyf72
269	2020-06-07 20:41:37	"<BBCWorld> Tip 1: Take breaks   ""Don't spend more than an hour on the screen at a time,” says consultant psychiatrist Dr Chetna Kang  Long periods on a computer can strain our eyes, causing headaches and eye discomfort, so even a 15-minute break is good for you    http://bbc.in/CoronavirusScreenTime … pic.twitter.com/HmHry2bptA"
270	2020-06-07 20:41:36	<BBCWorld> We’re spending about 30% longer on our phones than we were before the pandemic, data suggests   And then there’s the hours spent looking at laptops, TVs and tablets too   So how can we reduce our screen time?   [Thread] http://bbc.in/CoronavirusScreenTime …
152	2020-06-07 20:40:07	<nytimes> Upward-mobility job training programs for low-income young people have long been held in person. Now, several of these programs are moving entirely online, at a time when they are more needed than ever. https://nyti.ms/2Ui8Agu 
81	2020-06-07 20:40:05	<realDonaldTrump> “If Biden had any passion or respect for law enforcement, he kept it well hidden in his Philadelphia address. He criticized cops far more than he did arsonists & looters.” Michael Goodwin, @nypost
145	2020-06-07 20:40:01	<Reuters> India's Reliance says Abu Dhabi Investment Authority invests $752 million in digital unit  https://reut.rs/3eXNs7e  pic.twitter.com/M3COsQQNBN
146	2020-06-07 20:40:00	<Reuters> ICYMI: Families enjoyed a day out at zoos and other public attractions after Australia eased social distancing restrictions  https://reut.rs/3eIDNkV  pic.twitter.com/ffdKT18gEB
147	2020-06-07 20:35:01	<Reuters> Violence against protesters, press unacceptable, says France's Le Drian  https://reut.rs/2Y9zCYL  pic.twitter.com/CZuHl7FyYP
226	2020-06-07 20:35:00	<RFAChinese> 和他所称赞的那些领导人的另一个相似之处是，他不但没有把部署军队和威胁推翻各州州长决定的做法说成是令人遗憾的必要之举，反而把它们当作实力的展示。  “民粹主义大人物几乎总是把打破常规作为向支持者发出的信号，”莱维茨基说。   https://buff.ly/2XGydtm 
422	2020-06-07 20:33:48	<TIME> New York City officials urge protesters to get tested for the coronavirus https://ti.me/2XFZ9cP 
423	2020-06-07 20:31:41	"<TIME> ""George Floyd’s death, along with Breonna Taylor’s and Ahmaud Arbery’s, bring into full view the terror and trauma that shadow Black people experiences in this country,"" writes @esglaude. ""COVID-19 has not changed that. It has only intensified matters"" https://ti.me/3eQqQp8 "
